recno,ID,Ng,Name,RAJ2000,DEJ2000,zlambda,e_zlambda,lambda,e_lambda,S,zspec,ObjID,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zLum,PCen0,PCen1,PCen2,PCen3,PCen4,ID0,RA0deg,DE0deg,ID1,RA1deg,DE1deg,ID2,RA2deg,DE2deg,ID3,RA3deg,DE3deg,ID4,RA4deg,DE4deg,PZbin1,PZbin2,PZbin3,PZbin4,PZbin5,PZbin6,PZbin7,PZbin8,PZbin9,PZbin10,PZbin11,PZbin12,PZbin13,PZbin14,PZbin15,PZbin16,PZbin17,PZbin18,PZbin19,PZbin20,PZbin21,PZ1,PZ2,PZ3,PZ4,PZ5,PZ6,PZ7,PZ8,PZ9,PZ10,PZ11,PZ12,PZ13,PZ14,PZ15,PZ16,PZ17,PZ18,PZ19,PZ20,PZ21
294,455,45,"RMJ041940.3-591410.9",64.918064,-59.236365,0.2233,0.0064,29.62,2.27,1.009,,2943607327,18.4125,0.0034,17.1648,0.0019,16.7292,0.0017,16.4292,0.0024,20.3303,0.746,0.177,0.0709,0.00575,1.12E-4,2943607327,64.91806,-59.236366,2943604564,64.937317,-59.25351,2943604184,64.917641,-59.257511,2943603627,64.938004,-59.26556,2943606256,64.916817,-59.23291,0.1798,0.1841,0.1885,0.1928,0.1972,0.2015,0.2059,0.2102,0.2146,0.2189,0.2233,0.2276,0.232,0.2363,0.2407,0.2451,0.2494,0.2538,0.2581,0.2625,0.2668,1.35E-14,5.42E-11,5.36E-8,1.8E-5,0.00168,0.0601,0.979,6.88,25.0,51.7,62.3,47.8,24.0,8.64,2.29,0.439,0.07,0.00912,9.35E-4,8.87E-5,7.5E-6
16,28,103,"RMJ042904.2-601930.7",67.267531,-60.325192,0.2216,0.0049,71.11,3.5,1.022,,2947643019,18.159,0.0026,16.8791,0.0013,16.4323,0.0015,16.116,0.0022,50.166,0.989,0.00644,0.00259,0.0015,1.41E-4,2947643019,67.267532,-60.325191,2945998836,67.237778,-60.288445,2947665170,67.273483,-60.327782,2947663479,67.281334,-60.3339,2946001495,67.185394,-60.256306,0.1912,0.1943,0.1973,0.2003,0.2034,0.2064,0.2094,0.2125,0.2155,0.2185,0.2216,0.2246,0.2276,0.2307,0.2337,0.2367,0.2398,0.2428,0.2458,0.2489,0.2519,2.6E-9,4.56E-7,4.76E-5,0.00196,0.043,0.525,3.72,15.8,42.0,71.8,81.4,62.9,34.1,13.2,3.77,0.806,0.119,0.015,0.00151,1.22E-4,8.17E-6
572,956,50,"RMJ043144.4-594934.0",67.934795,-59.826118,0.4232,0.0109,27.86,2.63,1.017,,2946044883,20.4768,0.0102,18.6069,0.0023,18.0025,0.0024,17.6573,0.0032,21.5653,0.997,0.00196,3.67E-4,3.18E-4,3.62E-5,2946044883,67.934792,-59.826118,2946043957,67.927544,-59.828297,2946044142,67.934555,-59.826111,2946044246,67.936989,-59.827023,2946043980,67.934586,-59.826191,0.3649,0.3707,0.3765,0.3824,0.3882,0.394,0.3999,0.4057,0.4115,0.4174,0.4232,0.429,0.4349,0.4407,0.4465,0.4524,0.4582,0.464,0.4699,0.4757,0.4815,2.62E-6,7.33E-5,0.00144,0.0186,0.159,0.92,3.67,10.3,20.9,31.6,36.7,31.9,20.8,10.0,3.55,0.933,0.18,0.0255,0.00236,1.42E-4,5.53E-6
21,35,156,"RMJ043240.4-591519.1",68.168329,-59.255305,0.4866,0.0098,86.65,4.45,1.002,,2945822899,20.1359,0.0082,18.3445,0.002,17.6506,0.0018,17.2629,0.0026,60.3562,0.999,9.15E-4,9.29E-5,1.58E-5,4.62E-6,2945822899,68.168327,-59.255306,2945822527,68.165627,-59.254108,2945822134,68.170593,-59.257374,2945822380,68.183113,-59.252773,2945822161,68.171928,-59.256153,0.4291,0.4348,0.4406,0.4463,0.4521,0.4578,0.4636,0.4693,0.4751,0.4809,0.4866,0.4924,0.4981,0.5039,0.5096,0.5154,0.5211,0.5269,0.5327,0.5384,0.5442,8.76E-7,2.57E-5,4.77E-4,0.00709,0.0735,0.491,2.48,8.63,20.2,34.3,40.7,34.3,20.4,8.69,2.8,0.628,0.111,0.0135,0.00121,8.97E-5,4.44E-6
613,1028,41,"RMJ043022.6-592520.2",67.594184,-59.422274,0.5032,0.0129,24.32,2.21,1.005,,2945434001,21.9645,0.0329,20.1218,0.0083,19.3847,0.0065,19.0036,0.0084,12.5512,1.0,1.45E-4,1.11E-4,4.49E-5,3.9E-5,2945434001,67.594185,-59.422276,2945437109,67.591507,-59.417244,2945433933,67.596237,-59.418816,2945433516,67.59285,-59.423634,2945429746,67.592178,-59.432129,0.4302,0.4375,0.4448,0.4521,0.4594,0.4667,0.474,0.4813,0.4886,0.4959,0.5032,0.5104,0.5177,0.525,0.5323,0.5396,0.5469,0.5542,0.5615,0.5688,0.5761,4.06E-7,1.29E-5,3.0E-4,0.00488,0.0543,0.407,2.04,6.94,16.2,26.5,31.0,26.5,16.6,7.68,2.6,0.638,0.113,0.0141,0.00124,7.61E-5,3.2E-6
1176,2446,75,"RMJ043008.6-590310.9",67.535912,-59.053035,0.7818,0.0157,27.9,3.29,1.022,,2945561063,23.3269,0.102,21.4658,0.021,20.1996,0.0122,19.6212,0.0123,18.1007,0.544,0.454,0.00184,1.68E-4,1.53E-5,2945561063,67.535912,-59.053036,2945559018,67.545639,-59.05423,2945561245,67.538139,-59.050423,2945561459,67.516968,-59.048004,2945558356,67.558784,-59.060192,0.6958,0.7044,0.713,0.7216,0.7302,0.7388,0.7474,0.756,0.7646,0.7732,0.7818,0.7904,0.799,0.8076,0.8162,0.8248,0.8334,0.842,0.8506,0.8592,0.8678,0.00347,0.0111,0.0354,0.11,0.334,1.01,2.8,6.92,13.9,21.7,25.4,21.9,13.6,6.1,2.02,0.481,0.0864,0.011,0.00101,6.98E-5,3.28E-6
589,982,65,"RMJ043259.9-584939.1",68.249451,-58.827516,0.5318,0.0109,29.55,2.99,1.012,,2944993733,21.8511,0.0309,19.9863,0.0066,19.1705,0.0058,18.7516,0.0075,20.5175,0.978,0.0138,0.00346,0.00288,0.00157,2944993733,68.249451,-58.827515,2944993398,68.248581,-58.828968,2944973114,68.236801,-58.83326,2944981861,68.244987,-58.830868,2945018014,68.250374,-58.814617,0.4682,0.4745,0.4809,0.4872,0.4936,0.5,0.5063,0.5127,0.519,0.5254,0.5318,0.5381,0.5445,0.5508,0.5572,0.5636,0.5699,0.5763,0.5827,0.589,0.5954,2.3E-7,1.04E-5,2.95E-4,0.00523,0.0595,0.446,2.18,7.59,18.3,30.8,36.6,31.0,18.8,8.25,2.64,0.615,0.105,0.013,0.00128,9.01E-5,4.96E-6
706,1204,39,"RMJ042820.0-590825.0",67.083165,-59.140276,0.2957,0.0191,21.8,2.16,1.003,,2945536787,19.1154,0.0058,17.6333,0.0022,17.16,0.0023,16.8497,0.003,16.7221,0.927,0.0543,0.0191,3.75E-5,3.2E-5,2945536787,67.083168,-59.140278,2945536156,67.078987,-59.144333,2945531795,67.069061,-59.146309,2945531572,67.062782,-59.145294,2945536705,67.100212,-59.133495,0.1266,0.1435,0.1604,0.1773,0.1942,0.2111,0.2281,0.245,0.2619,0.2788,0.2957,0.3126,0.3295,0.3464,0.3633,0.3803,0.3972,0.4141,0.431,0.4479,0.4648,4.3E-44,3.61E-31,1.24E-21,1.27E-14,2.08E-9,1.17E-5,0.00495,0.289,3.6,14.0,21.0,14.3,5.12,1.15,0.199,0.0306,0.0049,8.75E-4,1.54E-4,2.3E-5,2.61E-6
940,1708,42,"RMJ042917.4-590525.0",67.322308,-59.09027,0.3901,0.0144,22.43,2.36,1.005,,2945551615,20.1633,0.0127,18.3691,0.0032,17.7808,0.003,17.4387,0.0041,18.7515,0.967,0.0187,0.0117,0.00289,1.57E-4,2945551615,67.322311,-59.090271,2945548635,67.317039,-59.097599,2945549037,67.324104,-59.092186,2945551532,67.325645,-59.091,2945548773,67.342445,-59.095123,0.3068,0.3151,0.3234,0.3318,0.3401,0.3484,0.3568,0.3651,0.3734,0.3818,0.3901,0.3984,0.4067,0.4151,0.4234,0.4317,0.4401,0.4484,0.4567,0.4651,0.4734,2.14E-14,3.7E-11,2.07E-8,4.27E-6,3.85E-4,0.0149,0.276,2.45,10.5,22.8,28.2,23.2,15.5,9.46,5.06,2.1,0.572,0.0894,0.0068,2.2E-4,3.01E-6
801,1388,62,"RMJ042750.5-590221.5",66.960524,-59.039314,0.7239,0.0221,28.63,2.9,1.0,,2945566839,22.4965,0.0741,20.6566,0.0184,19.5055,0.0101,19.0569,0.0132,21.0772,0.863,0.0795,0.0557,0.00161,3.14E-5,2945566839,66.960526,-59.039314,2945566088,66.94664,-59.043365,2945566506,66.955925,-59.039391,2945561151,66.935844,-59.052677,2945566158,66.981331,-59.041088,0.6305,0.6398,0.6492,0.6585,0.6679,0.6772,0.6865,0.6959,0.7052,0.7146,0.7239,0.7332,0.7426,0.7519,0.7613,0.7706,0.7799,0.7893,0.7986,0.808,0.8173,9.12E-4,0.00642,0.0392,0.19,0.723,2.15,4.91,8.88,13.2,16.6,17.9,16.7,13.0,7.99,3.52,1.02,0.178,0.0191,0.00128,5.49E-5,1.81E-6
