recno,ACO,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,NF_3,Obs_3,_RA_icrs,_DE_icrs
473,3185,58.19999999999999,-18.63333333333333,"F549",21,74,"RI ","II-III",80, ,18.1, ,18.3, ,19.3, ," ",143,238,211.36,-47.05,, ,2,6,17.4,1,O,, ,, ,58.760904444444435,-18.487758333333332
403,3115,49.224999999999994,-20.93333333333333,"F547",96,-50,"R  ","II",40,:,17.6, ,17.8, ,18.5, ," ",68,114,210.34,-55.78,, ,0,6,17.3,2,O,1,C,, ,49.78499833333333,-20.75250833333333
425,3137,53.24999999999999,-18.266666666666666,"F548",36,95,"I  ","II-III",46, ,16.0, ,16.7, ,18.3, ," ",128,259,208.28,-51.31,, ,0,6,17.3,1,O,, ,, ,53.81705583333333,-18.101166666666664
415,3127,51.87499999999999,-17.45,"F548",-33,139,"R: ","II-III",93, ,15.9,*,18.4, ,19.5, ," ",197,303,206.27,-52.22,, ,2,6,17.4,1,O,, ,, ,52.44684833333333,-17.27918472222222
463,3175,56.99999999999999,-18.18333333333333,"F549",-40,99,"RI ","I-II",64, ,15.7, ,17.4, ,18.0, ," ",204,263,210.14,-47.96,, ,1,6,17.3,1,O,, ,, ,57.5639986111111,-18.032826388888886
462,3174,56.94999999999999,-17.65,"F549",-43,128,"I  ","II-III",68, ,16.6, ,17.7, ,18.6, ," ",207,292,209.38,-47.81,, ,1,6,17.3,1,O,, ,, ,57.5164461111111,-17.499294166666665
291,3003,34.175,-29.199999999999996,"F415",-17,45,"I  ","III",54, ,16.4,?,18.0, ,19.3, ," ",181,209,223.52,-70.64,, ,1,6,17.4,1,O,, ,, ,34.72801555555555,-28.970376666666663
287,2999,33.775,-28.599999999999994,"F415",-36,77,"R  ","II-III",56, ,17.5, ,18.1, ,19.1, ," ",200,241,221.68,-70.98,, ,1,6,17.4,1,O,, ,, ,34.33103388888888,-28.369287499999995
274,2986,32.449999999999996,-28.68333333333333,"F415",-98,71,"I  ","III",43, ,17.6, ,18.2, ,19.1, ," ",262,235,221.87,-72.15,, ,0,6,17.4,1,O,, ,, ,33.008672499999996,-28.44908055555555
300,3012,35.324999999999996,-27.033333333333328,"F415",37,160,"RI ","II",62, ,16.1, ,17.6, ,18.0, ," ",127,324,217.33,-69.51,, ,1,6,17.3,1,O,, ,, ,35.88332166666666,-26.806927777777773
277,2989,32.8,-27.799999999999997,"F415",-82,119,"I  ","III",67, ,17.1, ,17.6, ,19.2, ," ",246,283,219.05,-71.81,, ,1,6,17.4,1,O,, ,, ,33.36090305555555,-27.566675277777772
269,2981,31.924999999999997,-27.599999999999998,"F478",-53,-138,"I  ","II-III",30, ,15.7, ,16.3, ,18.0, ," ",217,26,218.24,-72.57,, ,0,5,17.2,3,O,, ,, ,32.48844333333333,-27.364385277777775
260,2972,30.849999999999994,-27.349999999999998,"F414",98,142,"IR ","I-II",47, ,16.1, ,16.7, ,17.7, ," ",66,306,217.14,-73.5,, ,0,5,17.2,1,O,, ,, ,31.416554999999995,-27.111646666666662
262,2974,31.074999999999996,-27.499999999999996,"F414",109,134,"IR ","II-III",63, ,16.1, ,17.5, ,18.7, ," ",55,298,217.72,-73.31,, ,1,6,17.3,1,O,, ,, ,31.640593055555552,-27.262212499999997
267,2979,31.649999999999995,-26.599999999999998,"F478",-66,-85,"I  ","II",43, ,15.8, ,16.8, ,18.0, ," ",230,79,214.82,-72.71,, ,0,6,17.3,1,O,, ,, ,32.21726666666666,-26.36368194444444
280,2992,33.15,-26.899999999999995,"F478",5,-101,"RI ","I",30, ,14.5, ,15.5, ,17.0, ," ",159,63,216.3,-71.42,, ,0,5,17.2,1,O,, ,, ,33.71320027777777,-26.667612222222218
279,2991,33.074999999999996,-26.049999999999997,"F478",1,-55,"I  ","II",44, ,16.5, ,17.3,:,18.1, ," ",163,109,213.62,-71.37,, ,0,6,17.3,1,O,, ,, ,33.64118027777777,-25.817416666666663
283,2995,33.224999999999994,-25.066666666666663,"F478",9,-2,"I  ","I-II",69,:,16.1,:,17.4, ,17.8, ," ",155,162,210.7,-71.06,0.0378,),1,5,17.2,1,O,, ,, ,33.79411611111111,-24.834490277777775
310,3022,36.52499999999999,-24.649999999999995,"F479",-99,19,"I  ","III",44, ,18.4, ,18.8,?,19.4, ," ",263,183,211.32,-68.05,, ,0,6,17.4,1,C,, ,, ,37.08947083333333,-24.42705083333333
256,2968,30.374999999999996,-27.449999999999996,"F414",75,137,"I  ","III",42, ,16.1, ,16.7, ,17.6, ," ",89,301,217.39,-73.93,, ,0,5,17.2,1,O,, ,, ,30.94226222222222,-27.21046222222222
261,2973,31.049999999999997,-26.316666666666663,"F478",-95,-70,"I  ","II-III",76, ,16.6, ,17.8, ,19.1, ," ",259,94,213.62,-73.21,, ,1,6,17.4,1,O,, ,, ,31.619396111111108,-26.078822499999998
265,2977,31.224999999999994,-26.016666666666662,"F478",-88,-54,"R  ","I",93, ,16.7, ,17.3, ,18.9, ," ",252,110,212.68,-73.01,, ,2,6,17.3,1,O,, ,, ,31.794981388888885,-25.77926694444444
264,2976,31.124999999999996,-25.78333333333333,"F478",-93,-41,"R  ","II",102, ,17.4, ,17.6, ,18.8, ," ",257,123,211.84,-73.06,, ,2,6,17.3,1,O,, ,, ,31.695911111111105,-25.545681388888884
252,2964,29.699999999999996,-25.316666666666663,"F477",104,-17,"I  ","II-III",47, ,17.5, ,18.0, ,18.9, ," ",60,147,209.38,-74.24,, ,0,6,17.3,1,O,, ,, ,30.275164999999994,-25.075485555555552
244,2956,28.699999999999996,-24.23333333333333,"F477",57,43,"I  ","I-II",92, ,16.0, ,18.0, ,19.3, ," ",107,207,204.62,-74.87,, ,2,6,17.4,1,O,, ,, ,29.280244166666662,-23.989767499999996
295,3007,34.699999999999996,-23.316666666666663,"F478",83,91,"I  ","I-II",39,:,18.1, ,19.0, ,19.4, ," ",81,255,206.63,-69.34,, ,0,6,17.4,1,O,, ,, ,35.27219805555555,-23.088530555555554
282,2994,33.224999999999994,-21.316666666666663,"F544",85,-70,"IR ","III",76, ,16.8,:,17.7, ,19.1, ," ",79,94,199.91,-69.98,, ,1,6,17.4,1,O,, ,, ,33.806,-21.084511388888885
320,3032,38.099999999999994,-21.816666666666663,"F545",64,-98,"I  ","III",45, ,17.7, ,18.3, ,19.1, ," ",100,66,205.33,-65.89,, ,0,6,17.4,1,O,, ,, ,38.67179722222222,-21.598401388888885
336,3048,40.949999999999996,-20.68333333333333,"F546",-53,-36,"I  ","III",110, ,18.7, ,19.2, ,19.5, ," ",217,128,204.89,-63.01,, ,2,6,17.4,1,C,, ,, ,41.52171555555555,-20.473935833333332
288,3000,33.824999999999996,-19.65,"F545",-150,19,"I  ","II-III",71, ,17.1, ,17.7, ,19.3, ," ",314,183,196.22,-68.79,, ,1,6,17.4,1,O,, ,, ,34.41022305555555,-19.419475277777774
293,3005,34.37499999999999,-19.333333333333332,"F545",-122,36,"IR ","II-III",84,:,16.7, ,18.1,:,19.0, ," ",286,200,196.05,-68.19,, ,2,6,17.4,2,O,, ,, ,34.96042083333333,-19.104319166666663
230,2942,26.349999999999998,-22.08333333333333,"F543",2,-108,"RI ","I-II",32, ,14.9,:,16.6, ,18.0, ," ",162,56,193.54,-76.15,, ,0,6,17.3,1,O,, ,, ,26.940298888888886,-21.83445333333333
226,2938,25.574999999999996,-22.48333333333333,"F477",-97,136,"RI ","I-II",50, ,17.8, ,18.2, ,19.3, ," ",261,300,193.78,-76.97,, ,1,6,17.4,1,O,, ,, ,26.165674722222217,-22.23278694444444
254,2966,29.849999999999994,-21.249999999999996,"F544",-85,-66,"I  ","II-III",68, ,15.5,:,16.9, ,18.2, ," ",249,98,195.84,-72.85,, ,1,6,17.3,1,O,, ,, ,30.436604166666662,-21.009203611111108
246,2958,29.074999999999996,-19.4,"F544",-124,32,"IR ","III",57, ,17.6, ,18.2, ,19.3, ," ",288,196,189.18,-72.63,, ,1,6,17.4,2,O,, ,, ,29.66787333333333,-19.15734444444444
243,2955,28.649999999999995,-17.28333333333333,"F544",-147,147,"I  ","II",56,:,15.9, ,16.4, ,16.9, ," ",311,311,182.67,-71.8,, ,1,5,17.1,1,O,, ,, ,29.24902055555555,-17.039681944444443
227,2939,25.599999999999998,-17.28333333333333,"F543",-35,150,"I  ","III",45, ,18.0, ,18.8, ,19.3, ," ",199,314,176.4,-74.06,, ,0,6,17.4,1,O,, ,, ,26.203092777777773,-17.03286083333333
299,3011,35.12499999999999,-17.016666666666666,"F545",-85,160,"I  ","II-III",72,:,15.5, ,17.0, ,18.7, ," ",249,324,191.61,-66.47,, ,1,6,17.3,1,O,, ,, ,35.71659166666666,-16.78975694444444
289,3001,33.849999999999994,-17.699999999999996,"F544",119,123,"I  ","II",40, ,15.5,:,16.6, ,18.2, ," ",45,287,191.57,-67.87,, ,0,6,17.3,1,O,, ,, ,34.44110222222222,-17.469554166666665
273,2985,32.37499999999999,-17.28333333333333,"F544",43,147,"IR ","II-III",101, ,16.6, ,17.6, ,18.4, ," ",121,311,188.64,-68.86,, ,2,6,17.3,1,O,, ,, ,32.96920444444444,-17.04894583333333
742,3454,161.84999999999997,-81.58333333333333,"F019",30,-84,"I: ","II-III",52, ,16.8, ,18.0, ,18.7, ," ",134,80,298.48,-20.07,, ,1,5,17.1,1,O,, ,, ,161.8954458333333,-81.84800444444443
693,3405,101.77499999999999,-74.63333333333333,"F034",39,20,"I  ","III",35, ,16.8, ,17.5, ,18.2, ," ",125,184,285.79,-26.47,, ,0,5,17.2,1,O,, ,, ,101.4210336111111,-74.68930583333332
677,3389,95.39999999999999,-64.93333333333332,"F087",-86,3,"R  ","II-III",35, ,13.0, ,13.4,:,14.5,:,"dOQ",250,167,274.7,-27.5,0.0248, ,0,2,14.6,1,C,, ,, ,95.44751833333332,-64.95963694444444
689,3401,100.07499999999999,-63.41666666666666,"F087",24,89,"R  ","II-III",50, ,17.4, ,18.0, ,19.2, ," ",140,253,273.38,-25.25,, ,1,5,17.2,1,C,, ,, ,100.16715861111109,-63.4655861111111
763,3475,168.59999999999997,-43.71666666666666,"F265",21,70,"I  ","II-III",64, ,16.3, ,16.8, ,18.0, ," ",143,234,285.48,15.65,, ,1,5,17.2,1,O,, ,, ,169.1890958333333,-43.98991305555555
761,3473,168.34999999999997,-43.46666666666666,"F265",11,84,"I  ","II-III",52,:,16.7, ,17.7, ,18.0, ," ",153,248,285.21,15.81,, ,1,5,17.2,1,O,, ,, ,168.93840749999998,-43.73967583333333
762,3474,168.45,-43.099999999999994,"F265",15,103,"I  ","II",48, ,15.7, ,16.4, ,17.0, ," ",149,267,285.14,16.18,, ,0,5,17.1,1,O,, ,, ,169.0395233333333,-43.37310444444444
751,3463,166.04999999999998,-43.91666666666666,"F265",-77,59,"I  ","II-III",38, ,16.3,*,18.4, ,19.4, ," ",241,223,283.81,14.75,, ,0,6,17.3,1,O,, ,, ,166.62699638888887,-44.18724888888888
741,3453,161.7,-36.31666666666666,"F376",-15,-70,"I  ","III",38, ,17.3, ,18.3, ,18.9, ," ",179,94,277.15,20.09,, ,0,6,17.3,1,O,, ,, ,162.27702749999997,-36.58147083333333
774,3486,171.62499999999997,-36.28333333333333,"F378",-106,-69,"I  ","II-III",54, ,17.3, ,18.1, ,18.7, ," ",270,95,284.98,23.42,, ,1,6,17.4,1,O,, ,, ,172.2367933333333,-36.55902833333333
749,3461,165.47499999999997,-32.99999999999999,"F438",-59,-160,"I  ","III",57, ,17.3, ,17.7, ,18.7, ," ",223,4,278.48,24.46,, ,1,6,17.4,1,C,, ,, ,166.07095416666664,-33.269906111111105
770,3482,170.09999999999997,-32.699999999999996,"F377",91,124,"RI ","I-II",33, ,16.1, ,16.6, ,18.0, ," ",73,288,282.28,26.32,, ,0,6,17.4,1,O,, ,, ,170.71067805555552,-32.97455166666666
764,3476,168.77499999999998,-32.83333333333333,"F377",32,118,"I  ","II-III",42, ,16.0, ,16.9, ,17.7, ," ",132,282,281.19,25.77,, ,0,6,17.3,1,O,, ,, ,169.3814072222222,-33.10673638888888
769,3481,169.74999999999997,-31.899999999999995,"F439",-128,-103,"RI:","I-II",61,:,16.7,:,17.0,:,18.5, ,"B",292,61,281.63,26.95,, ,1,6,17.4,2,O,1,C,, ,170.36053861111108,-32.17426166666666
756,3468,166.89999999999998,-32.08333333333333,"F377",-54,158,"I  ","III",67,:,17.5,:,17.6,:,18.9,:," ",218,322,279.25,25.81,, ,1,6,17.4,1,O,, ,, ,167.5017522222222,-32.354859722222216
757,3469,167.02499999999998,-31.96666666666666,"F377",-48,164,"I  ","III",63, ,17.0, ,17.7, ,19.2, ," ",212,328,279.3,25.96,, ,1,6,17.5,1,O,1,C,, ,167.62730027777775,-32.23832722222222
760,3472,168.325,-29.91666666666666,"F438",68,5,"I  ","I-II",77, ,16.9, ,17.3, ,19.0, ," ",96,169,279.48,28.29,, ,1,6,17.4,1,C,, ,, ,168.9338661111111,-30.189643888888885
722,3434,150.325,-35.01666666666666,"F374",12,-1,"I  ","III",55, ,16.8, ,17.6, ,18.9, ," ",152,163,268.29,16.08,, ,1,5,17.2,1,O,, ,, ,150.8693936111111,-35.25924527777777
716,3428,147.67499999999998,-33.49999999999999,"F374",-106,80,"RI ","I",46, ,13.4, ,16.1, ,17.3, ," ",270,244,265.53,15.86,, ,0,5,17.1,1,O,, ,, ,148.2173536111111,-33.735993611111105
714,3426,145.42499999999998,-30.599999999999994,"F434",75,-31,"I  ","III",80, ,17.4, ,18.0, ,19.2, ," ",89,133,262.04,16.77,, ,2,6,17.4,1,O,, ,, ,145.97237499999997,-30.83001333333333
735,3447,156.22499999999997,-38.11666666666666,"F375",7,-162,"RI ","II-III",63, ,17.7, ,18.1, ,19.2, ," ",157,2,274.18,16.31,, ,1,6,17.4,1,O,1,C,, ,156.7781044444444,-38.37202555555555
734,3446,156.2,-37.916666666666664,"F375",5,-152,"IR ","III",64, ,17.7, ,18.1, ,19.1, ," ",159,12,274.05,16.47,, ,1,6,17.4,1,O,, ,, ,156.75364499999998,-38.1719775
731,3443,154.72499999999997,-33.46666666666666,"F375",-60,87,"I  ","II",109, ,15.0, ,15.8, ,16.4, ," ",224,251,270.39,19.49,, ,2,5,16.6,1,O,, ,, ,155.2874658333333,-33.71903555555555
738,3450,157.62499999999997,-33.33333333333333,"F375",69,89,"I: ","II-III",51,:,16.5,:,17.6, ,19.3, ," ",95,253,272.46,20.95,, ,1,6,17.5,1,C,1,O,, ,158.19640694444442,-33.591339999999995
737,3449,156.7,-33.883333333333326,"F375",28,64,"I  ","III",43, ,17.6, ,18.6, ,19.4, ," ",136,228,272.09,20.07,, ,0,6,17.4,1,O,, ,, ,157.26714638888888,-34.1396125
736,3448,156.7,-33.61666666666666,"F375",28,78,"I: ","II-III",58, ,16.1, ,17.4, ,17.8, ," ",136,242,271.93,20.29,, ,1,5,17.2,1,O,, ,, ,157.26788277777774,-33.872946111111105
739,3451,157.77499999999998,-31.566666666666663,"F436",114,-83,"I  ","III",72, ,18.7, ,19.2, ,19.6, ," ",50,81,271.54,22.5,, ,1,6,17.5,1,C,, ,, ,158.35137916666665,-31.824948888888883
743,3455,162.52499999999998,-33.949999999999996,"F376",22,57,"RI ","I-II",30, ,15.4, ,16.8, ,17.4, ," ",142,221,276.57,22.49,, ,0,6,17.3,1,O,, ,, ,163.10996277777775,-34.21601916666666
744,3456,162.825,-32.133333333333326,"F376",38,153,"RI ","I-II",45, ,16.1, ,17.3, ,18.0, ,"B",126,317,275.87,24.21,, ,0,6,17.4,1,O,, ,, ,163.41457388888887,-32.39978055555555
755,3467,166.54999999999998,-30.999999999999996,"F438",-12,-51,"I  ","III",73, ,17.5, ,17.8, ,18.7, ," ",176,113,278.43,26.66,, ,1,6,17.4,1,C,, ,, ,167.15236249999998,-31.271143333333328
747,3459,164.42499999999998,-30.68333333333333,"F438",-109,-37,"I  ","I?",42, ,16.2, ,17.9, ,19.0, ," ",273,127,276.45,26.13,, ,0,6,17.4,1,C,, ,, ,165.0218586111111,-30.951937222222217
754,3466,166.47499999999997,-30.58333333333333,"F438",-15,-29,"R  ","I",30, ,15.9, ,17.0, ,17.6, ," ",179,135,278.16,27.01,, ,0,6,17.3,1,C,, ,, ,167.0777783333333,-30.85439333333333
759,3471,167.2,-29.88333333333333,"F438",18,8,"I  ","II-III",103, ,17.6, ,17.8, ,18.8, ," ",146,172,278.46,27.91,, ,2,6,17.4,1,C,, ,, ,167.80581305555552,-30.15517833333333
750,3462,165.64999999999998,-28.23333333333333,"F438",-54,96,"I  ","I",97, ,17.1, ,17.9, ,18.5, ," ",218,260,276.25,28.8,, ,2,6,17.5,1,C,, ,, ,166.25412888888886,-28.50344555555555
740,3452,161.29999999999998,-29.349999999999994,"F437",12,36,"I  ","II-III",35, ,16.8, ,17.5, ,18.0, ," ",152,200,273.09,25.98,, ,0,6,17.4,1,O,, ,, ,161.89091749999997,-29.61419833333333
746,3458,164.22499999999997,-27.566666666666663,"F438",-134,129,"I  ","II",90, ,17.5, ,17.9, ,18.9, ," ",298,293,274.63,28.8,, ,2,6,17.5,1,C,, ,, ,164.82661888888887,-27.835011666666663
748,3460,164.95,-27.033333333333328,"F438",-88,159,"I  ","II-III",41, ,17.4, ,17.6, ,18.8, ," ",252,323,274.99,29.58,, ,0,6,17.5,1,C,, ,, ,165.5542461111111,-27.302598055555553
720,3432,149.79999999999998,-32.8,"F374",-11,119,"RI ","I",56, ,15.3, ,16.1, ,17.3, ," ",175,283,266.5,17.54,, ,1,5,17.2,1,O,, ,, ,150.35067166666664,-33.04132083333333
724,3436,150.74999999999997,-31.499999999999996,"F435",56,-80,"I  ","III",88, ,16.0, ,16.4, ,17.4, ," ",108,84,266.3,19.06,, ,2,5,17.2,1,C,, ,, ,151.3075625,-31.743597499999996
723,3435,150.62499999999997,-31.349999999999994,"F435",49,-71,"R  ","III",169, ,17.7, ,18.0, ,18.6, ," ",115,93,266.11,19.11,, ,3,6,17.3,1,C,, ,, ,151.18272416666665,-31.593302499999997
721,3433,150.04999999999998,-31.033333333333328,"F435",23,-56,"RI ","III",105, ,16.5,?,17.0, ,17.9, ," ",141,108,265.5,19.04,, ,2,5,17.2,1,C,, ,, ,150.6072786111111,-31.275263888888883
733,3445,155.52499999999998,-29.533333333333328,"F436",10,27,"I  ","II-III",81, ,17.5, ,18.7, ,19.4, ," ",154,191,268.56,23.1,, ,2,6,17.5,1,C,, ,, ,156.1006444444444,-29.787328888888887
725,3437,152.39999999999998,-29.73333333333333,"F436",-135,14,"I  ","III",115, ,18.4, ,18.8, ,19.5, ," ",299,178,266.33,21.32,, ,2,6,17.5,2,C,, ,, ,152.9672597222222,-29.98072222222222
728,3440,153.37499999999997,-29.099999999999994,"F436",-88,49,"I  ","II-III",155, ,18.0, ,18.6, ,19.2, ,"B",252,213,266.64,22.34,, ,3,6,17.5,1,C,, ,, ,153.94649444444443,-29.349531388888884
726,3438,153.09999999999997,-28.316666666666663,"F436",-102,94,"R  ","II-III",111, ,18.6, ,18.8, ,19.4, ," ",266,258,265.92,22.82,, ,2,6,17.5,1,C,, ,, ,153.67305,-28.565602777777773
727,3439,153.37499999999997,-27.18333333333333,"F500",-31,-116,"I  ","III:",56, ,17.4, ,17.8, ,19.1, ," ",195,48,265.38,23.87,, ,1,6,17.5,1,C,, ,, ,153.95182944444443,-27.432868055555552
732,3444,155.37499999999997,-26.999999999999996,"F500",66,-107,"RI ","II-III",57, ,18.1, ,18.6, ,19.5,:," ",98,57,266.83,25.08,, ,1,6,17.5,2,C,, ,, ,155.95683194444442,-27.253698888888884
730,3442,154.17499999999998,-25.899999999999995,"F500",9,-47,"RI ","II-III",59, ,17.5, ,17.9, ,18.6, ," ",155,117,265.15,25.32,, ,1,6,17.4,1,C,, ,, ,154.75700583333332,-26.151239166666663
686,3398,98.77499999999999,-62.58333333333332,"F087",-9,132,"I  ","II",58, ,17.2, ,17.9, ,19.2, ," ",173,296,272.35,-25.68,, ,1,5,17.2,1,C,, ,, ,98.88461916666665,-62.62606194444444
681,3393,96.32499999999999,-62.86666666666666,"F087",-68,115,"I  ","III",55, ,17.9, ,18.5, ,19.3, ," ",232,279,272.45,-26.83,, ,1,6,17.3,1,C,, ,, ,96.42518555555554,-62.897569722222215
692,3404,101.12499999999999,-54.14999999999999,"F161",64,43,"RI ","I-II",64, ,14.4,?,15.9,:,17.1, ," ",100,207,263.67,-22.53,, ,1,5,17.0,1,C,, ,, ,101.38722833333333,-54.20433916666666
683,3395,96.62499999999999,-54.36666666666666,"F161",-76,29,"R  ","II",54, ,14.0,?,15.2, ,15.9, ,"BDO",240,193,263.18,-25.13,0.0498, ,1,4,15.9,1,C,, ,, ,96.87956972222221,-54.39939055555555
679,3391,96.29999999999998,-53.64999999999999,"F161",-87,70,"R  ","I",40, ,13.0,?,15.0,?,16.1, ,"DO",251,234,262.37,-25.16,0.0531, ,0,4,16.1,1,C,, ,, ,96.56436277777776,-53.68117833333333
685,3397,97.12499999999999,-52.199999999999996,"F206",-14,-118,"RI:","I-II",45, ,15.4, ,15.6, ,16.9, ," ",178,46,260.94,-24.35,, ,0,5,16.8,1,O,1,C,, ,97.40925055555554,-52.235207222222215
691,3403,100.14999999999999,-49.949999999999996,"F206",90,1,"RI ","I-II",49, ,15.6, ,16.7, ,17.6, ," ",74,165,259.13,-21.91,, ,0,5,17.0,2,O,, ,, ,100.46437249999998,-49.99980805555555
690,3402,100.09999999999998,-49.73333333333333,"F206",89,13,"IR ","I-II",45, ,16.5, ,18.0, ,18.8, ," ",75,177,258.9,-21.88,, ,0,5,17.1,1,O,, ,, ,100.41681749999998,-49.78290805555555
695,3407,105.92499999999998,-48.99999999999999,"F207",31,54,"RI ","I",57,:,13.6, ,14.8, ,15.4, ," ",133,218,259.49,-18.06,, ,1,3,15.3,1,O,, ,, ,106.25738194444443,-49.077166111111104
694,3406,104.24999999999999,-49.133333333333326,"F207",-27,48,"IR ","II-III",42, ,15.7,*,17.8, ,18.3, ," ",191,212,259.21,-19.13,, ,0,5,17.0,1,O,, ,, ,104.57849111111109,-49.202636111111104
696,3408,106.79999999999998,-49.133333333333326,"F207",62,46,"RI ","I-II",41, ,13.3, ,15.0, ,15.6, ," ",102,210,259.84,-17.57,, ,0,3,15.5,1,O,, ,, ,107.13230694444442,-49.21457638888888
673,3385,94.14999999999999,-51.99999999999999,"F206",-112,-108,"IR ","II:",46, ,15.8, ,16.5, ,17.4, ," ",276,56,260.27,-26.08,, ,0,5,17.1,3,O,, ,, ,94.43503666666665,-52.020824722222216
687,3399,98.99999999999999,-48.449999999999996,"F206",52,83,"I  ","III",33, ,16.6, ,18.1, ,18.6, ," ",112,247,257.35,-22.2,, ,0,5,17.1,1,O,, ,, ,99.33016444444443,-48.494336944444434
668,3380,91.42499999999998,-49.48333333333333,"F205",48,28,"IR ","I-II",40, ,13.2, ,14.4, ,15.6, ," ",116,192,257.13,-27.27,0.0567, ,0,4,15.7,1,O,, ,, ,91.73982333333332,-49.491004444444435
688,3400,99.84999999999998,-45.99999999999999,"F255",67,-54,"RI ","I?",59, ,17.0,?,17.8, ,18.6, ," ",97,110,255.02,-20.91,, ,1,5,17.1,1,C,, ,, ,100.20639638888888,-46.048472777777775
676,3388,95.32499999999999,-43.16666666666666,"F255",-105,97,"I  ","III:",44, ,18.1, ,18.3, ,19.5, ," ",269,261,251.07,-23.14,, ,0,5,17.2,1,C,, ,, ,95.7054886111111,-43.193412499999994
674,3386,95.07499999999999,-42.61666666666666,"F255",-114,128,"I  ","II-III",74, ,17.9,:,18.3, ,19.3, ," ",278,292,250.44,-23.15,, ,1,5,17.2,1,C,, ,, ,95.46034916666666,-42.64221444444444
684,3396,96.82499999999999,-41.699999999999996,"F308",-31,-90,"RI ","I-II",62, ,15.4,*,18.0, ,18.6, ," ",195,74,249.91,-21.64,, ,1,5,17.1,1,O,, ,, ,97.21920277777777,-41.734025277777775
667,3379,91.14999999999999,-42.283333333333324,"F254",5,147,"IR ","II",115, ,15.1, ,15.9, ,16.3, ," ",159,311,249.23,-25.85,, ,2,4,16.4,1,O,, ,, ,91.53739916666666,-42.28984527777777
678,3390,95.82499999999999,-37.31666666666666,"F365",-9,-124,"IR ","II",63, ,13.8, ,14.6, ,14.7, ," ",173,40,245.19,-20.98,, ,1,2,14.7,1,O,1,O,, ,96.25439749999998,-37.345948611111105
680,3392,96.32499999999999,-35.449999999999996,"F365",12,-24,"RI ","I",77, ,14.6, ,15.3, ,15.5, ,"s",152,140,243.45,-19.97,, ,1,3,15.5,1,O,, ,, ,96.76850888888887,-35.48173138888888
709,3421,144.075,-29.066666666666663,"F434",14,53,"I  ","III",53, ,17.9, ,18.2, ,18.9, ," ",150,217,260.05,17.09,, ,1,6,17.3,1,C,, ,, ,144.6249758333333,-29.292921111111106
711,3423,144.7,-27.849999999999998,"F434",43,116,"I  ","II-III",74, ,17.5, ,18.0, ,18.9, ," ",121,280,259.59,18.35,, ,1,6,17.3,1,O,, ,, ,145.2557636111111,-28.078018055555553
710,3422,144.49999999999997,-27.48333333333333,"F434",33,135,"RI:","II",60, ,17.9,?,18.4,?,19.1, ," ",131,299,259.18,18.49,, ,1,6,17.4,1,C,, ,, ,145.05665638888888,-27.710793055555552
712,3424,145.02499999999998,-27.283333333333328,"F434",60,146,"RI:","II-III",94, ,17.8, ,18.2, ,19.1, ," ",104,310,259.39,18.96,, ,2,6,17.4,1,O,1,C,, ,145.5834522222222,-27.512257222222217
717,3429,149.27499999999998,-24.73333333333333,"F499",36,15,"R  ","I",35, ,14.5, ,15.2, ,16.6, ," ",128,179,260.58,23.42,, ,0,5,16.9,1,O,, ,, ,149.85026805555555,-24.97339194444444
719,3431,149.62499999999997,-24.049999999999997,"F499",53,51,"I  ","I-II",152, ,16.8, ,17.8, ,18.1, ," ",111,215,260.34,24.14,, ,3,6,17.4,1,O,, ,, ,150.20296111111108,-24.29091833333333
708,3420,142.475,-24.666666666666664,"F498",-27,20,"RI ","II-III",50, ,14.8, ,15.6, ,16.1, ," ",191,184,255.72,19.21,, ,1,4,16.3,1,C,, ,, ,143.03781388888888,-24.88831555555555
713,3425,145.27499999999998,-23.466666666666665,"F499",-160,81,"RI ","I-II",73, ,17.0, ,18.3, ,19.1, ," ",324,245,256.74,21.86,, ,1,6,17.5,1,O,, ,, ,145.8468661111111,-23.69629444444444
715,3427,147.09999999999997,-22.416666666666664,"F499",-71,138,"RI ","I-II",110, ,18.6, ,18.8, ,19.3, ," ",235,302,257.26,23.79,, ,2,6,17.5,1,O,, ,, ,147.6783419444444,-22.651199999999996
718,3430,149.49999999999997,-22.416666666666664,"F499",48,138,"IR ","II-III",56, ,15.3,?,16.5, ,18.6, ," ",116,302,259.06,25.29,, ,1,6,17.4,1,O,, ,, ,150.08246916666664,-22.657283611111108
729,3441,153.92499999999998,-21.333333333333332,"F567",80,-71,"I  ","II-III",45, ,16.5, ,17.0, ,17.9, ," ",84,93,261.78,28.77,, ,0,6,17.4,1,C,, ,, ,154.5180122222222,-21.58405222222222
707,3419,141.54999999999998,-22.516666666666662,"F498",-74,135,"I  ","III:",94, ,18.5, ,18.6, ,19.3, ," ",238,299,253.45,20.07,, ,2,6,17.4,2,C,, ,, ,142.11888416666665,-22.73557305555555
706,3418,139.87499999999997,-21.68333333333333,"F565",-96,-88,"R  ","I-II:",47, ,16.3,?,17.3, ,18.1, ," ",260,76,251.68,19.49,, ,0,6,17.3,1,C,, ,, ,140.44428277777777,-21.897116666666662
